sum_mesh,n,domain,prop,pct
0,130,Mesh sensation,0.6989247311827957,69.9
1,20,Mesh sensation,0.10752688172043011,10.8
2,12,Mesh sensation,0.06451612903225806,6.5
3,8,Mesh sensation,0.043010752688172046,4.3
4,1,Mesh sensation,0.005376344086021506,0.5
5,2,Mesh sensation,0.010752688172043012,1.1
6,6,Mesh sensation,0.03225806451612903,3.2
7,1,Mesh sensation,0.005376344086021506,0.5
8,3,Mesh sensation,0.016129032258064516,1.6
9,1,Mesh sensation,0.005376344086021506,0.5
11,1,Mesh sensation,0.005376344086021506,0.5
21,1,Mesh sensation,0.005376344086021506,0.5
