sum_pain,n,domain,prop,pct
0,99,Pain (CPSP),0.532258064516129,53.2
1,38,Pain (CPSP),0.20430107526881722,20.4
2,14,Pain (CPSP),0.07526881720430108,7.5
3,5,Pain (CPSP),0.026881720430107527,2.7
4,9,Pain (CPSP),0.04838709677419355,4.8
5,4,Pain (CPSP),0.021505376344086023,2.2
6,4,Pain (CPSP),0.021505376344086023,2.2
7,2,Pain (CPSP),0.010752688172043012,1.1
8,4,Pain (CPSP),0.021505376344086023,2.2
9,2,Pain (CPSP),0.010752688172043012,1.1
10,1,Pain (CPSP),0.005376344086021506,0.5
13,1,Pain (CPSP),0.005376344086021506,0.5
15,1,Pain (CPSP),0.005376344086021506,0.5
19,1,Pain (CPSP),0.005376344086021506,0.5
30,1,Pain (CPSP),0.005376344086021506,0.5
